1,1,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
4,0,1,0.0,0
1,0,0,0.0,0
5,0,0,2.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
5,1,2,0.0,1
1,0,0,0.0,0
4,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,1
3,0,0,0.0,0
4,2,2,0.0,0
1,0,0,0.0,2
3,0,0,0.0,0
9,0,0,0.0,0
1,0,0,0.0,0
7,1,2,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,1,1,0.0,0
3,2,1,0.0,0
4,1,2,0.0,0
4,0,0,0.0,0
2,0,0,0.0,0
7,2,2,0.0,3
2,0,0,0.0,0
1,0,0,0.0,1
2,0,0,1.0,0
1,1,1,0.0,2
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
5,1,1,0.0,0
2,2,1,0.0,1
4,1,1,0.0,0
3,0,0,0.0,1
3,1,1,0.0,1
3,0,0,0.0,0
1,0,0,0.0,0
3,2,2,0.0,2
4,1,1,1.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
4,0,1,0.0,0
3,0,1,0.0,1
3,1,1,0.0,0
3,1,1,0.0,1
1,0,0,0.0,0
4,1,2,0.0,1
3,0,0,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,2,2,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
3,0,0,1.0,0
1,0,0,0.0,1
3,2,1,0.0,0
1,0,0,0.0,0
2,2,1,0.0,0
1,0,0,0.0,1
3,0,1,0.0,1
1,0,0,1.0,1
4,0,0,0.0,1
1,0,0,0.0,0
3,2,2,0.0,2
2,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
3,0,0,1.0,0
3,1,1,0.0,0
4,1,1,0.0,0
12,3,6,0.0,5
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
4,2,2,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
5,1,1,0.0,0
2,0,0,0.0,0
5,0,0,0.0,1
3,1,1,0.0,0
3,1,1,0.0,0
1,1,0,0.0,0
6,3,3,0.0,0
7,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,1,1,0.0,1
4,2,2,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
4,2,2,0.0,0
4,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
4,0,0,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
5,2,2,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
6,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
5,1,1,0.0,0
3,0,0,0.0,1
1,0,0,0.0,1
3,2,1,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,1
1,1,1,0.0,1
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,1,0.0,1
3,2,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,1.0,0
4,3,3,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
9,4,4,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
3,0,0,0.0,1
2,1,1,0.0,1
1,0,0,0.0,1
4,1,2,0.0,0
1,1,0,0.0,0
2,0,0,0.0,0
5,1,1,1.0,2
3,1,1,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
3,0,1,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,2
3,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,2
3,0,0,0.0,0
1,0,0,0.0,0
4,0,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
7,2,1,1.0,0
2,1,1,0.0,2
1,1,0,0.0,0
6,2,2,1.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,1,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
4,2,2,0.0,0
2,1,1,0.0,2
1,0,0,0.0,0
3,1,1,0.0,0
3,2,1,0.0,0
3,2,1,0.0,1
1,0,0,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
4,1,1,0.0,0
3,1,1,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
4,0,0,0.0,2
3,1,1,0.0,0
1,0,0,0.0,0
3,2,2,0.0,1
6,2,3,2.0,2
1,0,0,0.0,0
1,1,1,0.0,1
5,3,3,0.0,1
1,1,1,0.0,1
1,0,0,0.0,1
2,0,0,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
5,0,0,0.0,0
3,0,0,0.0,1
3,2,2,0.0,3
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,1
6,2,1,0.0,1
3,2,1,0.0,0
2,0,0,0.0,1
1,1,1,0.0,1
4,1,1,0.0,0
3,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
5,1,1,0.0,0
3,1,1,0.0,0
2,1,1,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
9,2,2,0.0,4
1,0,0,0.0,0
4,1,2,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
4,1,2,0.0,0
7,0,2,0.0,1
4,0,0,0.0,2
7,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
2,0,0,0.0,0
9,0,0,0.0,0
3,0,1,0.0,1
2,0,0,0.0,0
3,1,1,0.0,0
2,1,0,0.0,0
3,2,1,0.0,0
3,3,3,0.0,2
3,0,0,2.0,0
1,0,0,0.0,0
6,3,3,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,1
1,0,0,0.0,1
1,0,0,0.0,0
1,1,1,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
3,0,0,0.0,2
2,0,1,0.0,1
2,0,0,0.0,0
3,0,0,0.0,0
5,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
2,0,0,0.0,0
3,0,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,2,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
3,0,1,0.0,1
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,1
2,0,0,0.0,1
3,0,1,0.0,0
3,0,0,0.0,0
2,0,1,0.0,1
1,1,0,0.0,0
0,2,2,1.0,5
1,0,0,0.0,0
4,2,2,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
3,1,1,0.0,0
1,1,1,0.0,1
5,1,2,0.0,2
1,0,0,0.0,0
2,0,0,0.0,0
3,2,2,0.0,2
1,0,0,0.0,0
7,2,3,0.0,0
1,2,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,2,2,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
7,0,0,0.0,4
1,0,0,0.0,0
4,2,2,0.0,0
4,1,2,0.0,0
4,2,2,0.0,0
2,1,1,0.0,2
1,0,0,0.0,1
2,1,1,0.0,1
3,2,2,0.0,1
3,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
3,0,0,0.0,0
1,1,0,0.0,0
2,0,0,1.0,0
1,0,0,0.0,0
2,1,1,0.0,2
4,1,1,0.0,1
3,0,1,0.0,1
1,0,0,0.0,0
4,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
7,1,2,0.0,2
3,0,0,0.0,1
3,0,1,0.0,0
1,0,0,0.0,0
7,4,5,0.0,2
1,0,0,0.0,0
2,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
3,1,1,0.0,0
5,0,0,0.0,2
1,1,1,0.0,1
1,0,0,0.0,0
1,1,1,0.0,1
3,0,0,0.0,0
3,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,2
3,3,3,0.0,2
3,0,1,0.0,1
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
3,2,2,0.0,1
3,1,1,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
3,0,1,0.0,0
3,1,1,0.0,0
1,0,0,0.0,1
3,0,0,0.0,0
1,0,0,0.0,0
5,1,1,0.0,1
2,1,1,0.0,1
1,1,1,0.0,1
1,1,0,0.0,0
4,0,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
2,1,0,0.0,0
3,1,1,0.0,0
7,5,5,0.0,2
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,2
1,0,0,0.0,0
6,2,2,0.0,1
4,1,1,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
4,2,2,0.0,0
3,0,0,0.0,0
1,1,1,0.0,1
2,2,1,0.0,0
6,3,3,0.0,0
2,0,0,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,2,1,0.0,0
3,3,3,0.0,2
1,0,0,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,1
2,1,1,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
3,2,1,0.0,1
4,0,0,0.0,0
3,1,2,0.0,1
2,0,0,0.0,0
4,1,1,1.0,0
3,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
10,4,4,0.0,0
1,0,0,0.0,0
2,0,1,1.0,2
4,0,1,0.0,2
3,2,2,0.0,1
1,1,0,0.0,0
4,1,1,0.0,0
3,0,0,0.0,0
4,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,2
1,0,0,0.0,0
3,1,1,0.0,0
3,1,1,0.0,0
4,2,1,0.0,0
1,1,1,0.0,1
2,0,0,0.0,0
1,1,0,0.0,0
7,1,1,0.0,0
2,1,1,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
4,2,1,0.0,0
8,2,3,0.0,1
1,0,0,0.0,0
1,1,0,0.0,0
1,0,0,0.0,0
4,2,2,0.0,0
3,1,1,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
5,1,2,0.0,1
1,0,0,0.0,1
4,2,2,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
4,1,1,0.0,0
1,0,0,0.0,0
2,2,1,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
6,1,1,0.0,2
1,0,0,0.0,1
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
4,1,1,2.0,1
3,1,1,0.0,1
1,0,0,0.0,1
2,0,0,0.0,0
1,2,1,0.0,1
2,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,1
2,0,0,0.0,0
7,4,5,0.0,2
1,1,1,0.0,2
2,1,1,0.0,1
3,0,1,0.0,0
1,0,1,0.0,2
4,0,1,0.0,1
2,2,1,0.0,0
1,0,0,0.0,0
2,1,1,0.0,1
2,0,0,0.0,0
6,1,2,0.0,0
4,1,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,2,2,0.0,3
5,0,1,0.0,0
6,0,1,0.0,3
1,4,4,0.0,7
2,1,1,0.0,1
1,0,0,0.0,1
2,2,2,0.0,2
2,0,0,0.0,0
6,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,1
4,2,2,0.0,0
2,0,0,0.0,0
2,2,1,0.0,0
1,1,0,0.0,0
6,4,4,0.0,1
1,0,0,0.0,1
1,1,1,0.0,1
1,1,0,0.0,0
1,0,0,0.0,0
4,2,2,0.0,0
5,3,2,0.0,0
4,1,2,0.0,0
1,0,0,0.0,0
4,0,0,0.0,0
4,2,2,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
4,2,2,0.0,1
3,0,1,0.0,1
1,0,0,0.0,0
3,1,1,0.0,1
3,0,0,0.0,1
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
3,2,2,0.0,4
1,0,0,0.0,0
2,0,1,0.0,1
2,1,1,0.0,1
6,2,1,0.0,0
3,0,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,1,1,0.0,0
5,4,3,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
7,4,3,0.0,1
1,0,0,0.0,0
4,2,2,0.0,0
3,1,1,0.0,1
1,0,0,0.0,0
6,0,0,0.0,1
3,0,0,0.0,1
3,1,1,0.0,0
2,0,1,0.0,1
3,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
4,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
2,0,0,0.0,0
5,1,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,1
2,0,0,0.0,0
5,3,3,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,2
2,0,0,0.0,1
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
4,0,0,0.0,1
2,0,1,0.0,1
3,0,0,0.0,0
2,2,1,0.0,0
3,1,1,0.0,0
3,0,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
5,1,1,0.0,1
1,0,0,0.0,0
3,0,0,0.0,0
2,0,0,0.0,1
3,1,1,0.0,1
2,1,1,0.0,1
5,0,0,0.0,1
1,0,0,0.0,0
4,0,0,0.0,0
3,1,1,0.0,0
5,2,2,0.0,0
5,1,1,0.0,2
2,0,0,0.0,1
1,0,0,0.0,0
3,3,2,0.0,1
1,0,0,0.0,1
4,1,1,0.0,1
8,4,3,0.0,1
2,0,0,0.0,1
6,1,3,0.0,0
3,1,1,0.0,0
3,1,1,0.0,1
1,0,0,0.0,0
4,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
3,2,1,0.0,0
6,3,3,0.0,2
1,0,0,0.0,1
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
3,0,1,0.0,1
5,0,0,1.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
5,1,1,0.0,0
4,0,0,0.0,3
1,0,0,0.0,0
1,1,0,0.0,0
1,0,0,0.0,0
2,0,0,1.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
2,2,1,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
2,0,0,0.0,0
3,0,1,0.0,0
3,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
3,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
4,2,2,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
2,1,0,0.0,1
5,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
3,0,1,0.0,0
1,0,0,0.0,0
6,1,1,0.0,0
1,0,0,0.0,0
4,2,2,0.0,0
2,1,0,0.0,0
1,1,1,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
4,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
4,0,1,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
2,1,1,0.0,2
1,0,0,0.0,0
2,2,2,1.0,3
1,1,1,0.0,1
3,1,0,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
0,0,0,0.0,2
1,1,0,0.0,0
2,0,0,0.0,0
3,2,2,0.0,1
1,0,0,0.0,0
2,1,1,0.0,1
6,2,2,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
2,1,0,0.0,0
2,0,0,0.0,0
5,2,2,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,1,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,0,0,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,1
4,0,0,0.0,0
3,0,0,0.0,0
3,0,0,0.0,0
6,2,2,0.0,1
6,2,2,0.0,0
3,0,0,0.0,0
8,6,6,0.0,4
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,1
4,1,2,0.0,0
3,2,2,0.0,1
2,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
1,1,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
2,0,0,0.0,0
2,0,0,0.0,2
2,0,0,0.0,0
3,1,1,1.0,0
1,0,0,0.0,2
3,1,1,0.0,0
1,1,1,0.0,2
3,1,1,0.0,0
3,1,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
3,0,0,0.0,2
1,0,0,0.0,0
2,0,0,0.0,0
4,1,2,0.0,0
2,0,0,0.0,0
1,1,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
4,0,0,0.0,1
2,0,0,0.0,1
1,0,0,0.0,1
2,0,0,0.0,0
4,1,1,0.0,1
1,0,0,0.0,1
2,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
6,2,3,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
3,1,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,1
2,1,1,0.0,1
1,0,0,0.0,0
5,2,2,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
4,0,1,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
4,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,1
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,1,2,0.0,2
4,0,0,0.0,0
3,1,1,0.0,0
6,2,2,0.0,1
4,2,2,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
3,0,0,0.0,3
5,0,0,0.0,0
1,1,1,0.0,2
2,2,1,0.0,1
3,1,1,0.0,0
3,1,1,0.0,0
1,2,1,0.0,1
5,3,3,0.0,1
1,0,0,0.0,1
8,1,2,0.0,2
1,0,0,0.0,1
2,0,0,2.0,2
3,1,1,0.0,0
2,2,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
3,0,0,0.0,2
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
2,1,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
7,1,2,0.0,1
1,0,0,0.0,0
2,0,0,1.0,0
7,1,2,0.0,0
3,1,0,0.0,0
3,0,0,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
1,0,0,0.0,0
3,0,1,0.0,1
3,0,1,0.0,0
1,0,0,0.0,0
3,0,0,0.0,0
3,1,1,0.0,0
3,0,0,0.0,0
3,2,2,0.0,1
2,1,1,0.0,1
4,1,1,0.0,0
3,2,2,0.0,1
2,0,0,0.0,0
3,0,1,0.0,0
7,0,1,0.0,0
3,2,2,0.0,1
2,0,1,0.0,1
1,0,0,0.0,0
1,1,0,0.0,0
1,0,0,0.0,0
3,3,2,0.0,1
3,0,0,0.0,0
3,2,2,0.0,1
4,2,2,0.0,0
9,5,5,2.0,2
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,1,1,1.0,0
1,1,1,0.0,1
2,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,1
1,0,0,0.0,1
3,1,1,0.0,1
1,0,0,0.0,0
2,1,1,0.0,2
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,2
2,0,0,0.0,0
4,1,1,0.0,2
3,2,1,0.0,0
10,5,5,0.0,1
2,0,0,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
4,0,1,0.0,3
5,3,2,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
3,1,1,0.0,0
3,2,2,0.0,1
1,1,1,0.0,1
2,1,0,0.0,0
1,1,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,1,2,0.0,1
2,0,0,0.0,0
1,0,0,0.0,1
2,0,0,0.0,0
2,0,0,0.0,2
6,4,4,0.0,1
3,1,1,1.0,0
4,2,2,0.0,0
1,0,0,0.0,0
3,0,1,0.0,0
3,1,1,0.0,0
1,0,0,0.0,1
1,2,1,0.0,1
3,0,0,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
7,3,3,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
5,2,2,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
8,1,2,1.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
2,0,0,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,0,0.0,0
1,0,0,0.0,0
3,2,2,0.0,3
2,0,0,0.0,2
1,0,0,0.0,0
3,1,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,2,1,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,1
2,0,0,1.0,1
4,2,2,0.0,1
3,0,0,0.0,1
1,0,0,0.0,1
3,1,1,0.0,1
1,0,0,0.0,0
6,2,3,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
6,2,3,0.0,0
1,2,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,0,1,0.0,2
4,2,2,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
2,2,1,0.0,1
1,0,0,0.0,0
3,0,0,0.0,0
4,1,1,0.0,1
1,0,0,0.0,1
2,0,0,0.0,1
3,1,1,0.0,0
3,1,1,0.0,4
1,0,0,0.0,1
3,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,2
4,1,1,0.0,2
7,3,3,0.0,0
5,4,4,0.0,2
2,0,0,0.0,0
2,0,0,0.0,1
1,2,1,0.0,2
1,0,0,0.0,0
1,1,1,0.0,1
1,0,0,0.0,0
2,0,1,0.0,1
1,1,1,0.0,1
1,2,1,0.0,1
2,0,0,0.0,0
3,1,2,0.0,1
1,0,0,0.0,1
3,3,2,0.0,1
1,0,0,0.0,0
3,1,1,0.0,0
4,1,1,0.0,0
2,0,0,0.0,0
2,0,0,0.0,1
2,0,0,0.0,0
1,0,0,0.0,1
4,1,1,0.0,0
2,0,0,0.0,0
3,1,1,0.0,0
2,0,0,0.0,0
4,2,2,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
4,1,1,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
4,0,0,0.0,1
4,1,1,0.0,1
6,0,0,0.0,0
4,1,2,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
2,0,0,1.0,0
3,0,0,1.0,1
3,1,1,0.0,3
1,0,0,0.0,0
1,0,0,0.0,1
4,1,1,0.0,0
1,1,1,0.0,1
2,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
3,0,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
3,0,1,0.0,0
1,0,0,0.0,0
2,1,1,1.0,2
2,0,0,1.0,0
3,1,1,0.0,0
4,0,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
3,0,0,0.0,1
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
4,1,2,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,0
3,1,1,0.0,0
2,0,0,0.0,1
1,0,0,0.0,0
3,0,1,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
3,1,1,0.0,0
1,0,0,0.0,0
2,0,0,0.0,0
1,0,0,0.0,0
1,1,1,0.0,1
3,1,1,0.0,0
2,1,1,0.0,1
4,2,2,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
2,1,1,0.0,1
1,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,0
2,1,1,0.0,1
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
3,0,0,0.0,3
2,0,0,0.0,0
1,0,0,0.0,0
1,0,0,0.0,1
1,0,0,0.0,0
